poolAddress,date,tx_count,unique_users,pool_name,token0Symbol,token1Symbol,fee,fee_percentage,poolType,tx_count_3d_avg,tx_count_7d_avg,tx_count_7d_std,tx_count_cumulative,days_since_start,day_number,tx_growth_rate,target_tx_3d_ahead,target_tx_3d_avg_ahead,target_tx_7d_ahead,target_tx_7d_avg_ahead,stablecoin_pair_type,activity_level,pool_maturity,volatility_level
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,2025-03-01,20,19,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,20.0,20.0,0.0,20.0,0.0,1.0,0.0,17.0,12.0,17.0,12.857142857142858,other,medium,new,
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,2025-03-02,12,12,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,16.0,16.0,5.656854249492381,32.0,1.0,2.0,-0.4,3.0,9.0,19.0,13.857142857142858,other,medium,new,low_vol
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,2025-03-03,7,7,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,13.0,13.0,6.557438524302,39.0,2.0,3.0,-0.41666666666666663,12.0,10.666666666666666,11.0,14.428571428571429,other,medium,new,low_vol
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,2025-03-04,17,17,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,12.0,14.0,5.715476066494082,56.0,3.0,4.0,1.4285714285714284,22.0,12.333333333333334,8.0,13.142857142857142,other,medium,new,low_vol
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,2025-03-05,3,3,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,9.0,11.8,6.978538528947161,59.0,4.0,5.0,-0.8235294117647058,17.0,17.0,19.0,15.428571428571429,other,low,new,low_vol
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,2025-03-06,12,12,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,10.666666666666666,11.833333333333334,6.242328625334192,71.0,5.0,6.0,3.0,19.0,19.333333333333332,18.0,16.285714285714285,other,medium,new,low_vol
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,2025-03-07,22,22,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,12.333333333333334,13.285714285714286,6.8729975438737965,93.0,6.0,7.0,0.8333333333333333,11.0,15.666666666666666,19.0,15.857142857142858,other,high,new,low_vol
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,2025-03-08,17,17,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,17.0,12.857142857142858,6.4660284417503,110.0,7.0,8.0,-0.2272727272727273,8.0,12.666666666666666,16.0,15.714285714285714,other,medium,new,low_vol
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,2025-03-09,19,19,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,19.333333333333332,13.857142857142858,6.841748592978539,129.0,8.0,9.0,0.11764705882352944,19.0,12.666666666666666,27.0,16.857142857142858,other,medium,young,low_vol
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,2025-03-10,11,11,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,15.666666666666666,14.428571428571429,6.320789582985733,140.0,9.0,10.0,-0.42105263157894735,18.0,15.0,2.0,15.571428571428571,other,medium,young,low_vol
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,2025-03-11,8,8,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,12.666666666666666,13.142857142857142,6.618876325292973,148.0,10.0,11.0,-0.2727272727272727,19.0,18.666666666666668,5.0,15.142857142857142,other,medium,young,low_vol
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,2025-03-12,19,19,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,12.666666666666666,15.428571428571429,5.126959555693246,167.0,11.0,12.0,1.375,16.0,17.666666666666668,17.0,14.857142857142858,other,medium,young,low_vol
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,2025-03-13,18,18,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,15.0,16.285714285714285,4.956957592256422,185.0,12.0,13.0,-0.052631578947368474,27.0,20.666666666666668,17.0,14.714285714285714,other,medium,young,low_vol
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,2025-03-14,19,19,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,18.666666666666668,15.857142857142858,4.488079449258575,204.0,13.0,14.0,0.05555555555555558,2.0,15.0,25.0,15.571428571428571,other,medium,young,low_vol
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,2025-03-15,16,16,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,17.666666666666668,15.714285714285714,4.461475305855891,220.0,14.0,15.0,-0.1578947368421053,5.0,11.333333333333334,10.0,14.714285714285714,other,medium,young,low_vol
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,2025-03-16,27,26,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,20.666666666666668,16.857142857142858,6.1489449346634935,247.0,15.0,16.0,0.6875,17.0,8.0,13.0,12.714285714285714,other,high,young,low_vol
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,2025-03-17,2,2,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,15.0,15.571428571428571,8.18244345855081,249.0,16.0,17.0,-0.9259259259259259,17.0,13.0,9.0,13.714285714285714,other,low,young,low_vol
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,2025-03-18,5,5,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,11.333333333333334,15.142857142857142,8.706866474772873,254.0,17.0,18.0,1.5,25.0,19.666666666666668,10.0,14.428571428571429,other,low,young,low_vol
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,2025-03-19,17,17,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,8.0,14.857142857142858,8.591246929842246,271.0,18.0,19.0,2.4,10.0,17.333333333333332,9.0,13.285714285714286,other,medium,young,low_vol
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,2025-03-20,17,17,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,13.0,14.714285714285714,8.538428538364768,288.0,19.0,20.0,0.0,13.0,16.0,16.0,13.142857142857142,other,medium,young,low_vol
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,2025-03-21,25,25,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,19.666666666666668,15.571428571428571,9.30693545798227,313.0,20.0,21.0,0.47058823529411775,9.0,10.666666666666666,12.0,11.285714285714286,other,high,young,low_vol
